sample,input_row,name,ra_deg,dec_deg,coordinate_source,search_radius_arcsec,optical_counterpart_identified,transient_redshift,status,candidate_count,nearest_name,nearest_ra_deg,nearest_dec_deg,nearest_z,nearest_sep_arcsec,aladin_path,aladin_notebook_path,cat_table_path,error
WXT_results,2,EP240202a,77.571,2.362,wxt_ra/wxt_dec,190.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240202a/aladin.html,examples/WXT_results_summary_data/EP240202a/aladin.ipynb,examples/WXT_results_summary_data/EP240202a/cat_table.csv,
WXT_results,3,EP240219a,80.031,25.533,wxt_ra/wxt_dec,190.0,False,,success,1,PS J051958.18+253323.9,79.992416,25.556625,0.0543168,151.45864340314884,examples/WXT_results_summary_data/EP240219a/aladin.html,examples/WXT_results_summary_data/EP240219a/aladin.ipynb,examples/WXT_results_summary_data/EP240219a/cat_table.csv,
WXT_results,4,EP240315a,141.647,-9.5338,fxt_ra/fxt_dec,20.0,False,4.859,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240315a/aladin.html,examples/WXT_results_summary_data/EP240315a/aladin.ipynb,examples/WXT_results_summary_data/EP240315a/cat_table.csv,
WXT_results,5,EP240316a,171.672,-7.257,wxt_ra/wxt_dec,190.0,False,,success,1,DESI J112645.58-071319.6,171.689926,-7.222114,0.0244251,140.9652333188597,examples/WXT_results_summary_data/EP240316a/aladin.html,examples/WXT_results_summary_data/EP240316a/aladin.ipynb,examples/WXT_results_summary_data/EP240316a/cat_table.csv,
WXT_results,6,EP240331a,169.6608,-20.1378,fxt_ra/fxt_dec,20.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240331a/aladin.html,examples/WXT_results_summary_data/EP240331a/aladin.ipynb,examples/WXT_results_summary_data/EP240331a/cat_table.csv,
WXT_results,7,EP240413a,228.8164,-18.5051,fxt_ra/fxt_dec,20.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240413a/aladin.html,examples/WXT_results_summary_data/EP240413a/aladin.ipynb,examples/WXT_results_summary_data/EP240413a/cat_table.csv,
WXT_results,8,EP240414a,191.50695417,-9.71913333,optical_counterpart,20.0,True,0.4007,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240414a/aladin.html,examples/WXT_results_summary_data/EP240414a/aladin.ipynb,examples/WXT_results_summary_data/EP240414a/cat_table.csv,
WXT_results,9,EP240416a,203.142,-13.6311,fxt_ra/fxt_dec,20.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240416a/aladin.html,examples/WXT_results_summary_data/EP240416a/aladin.ipynb,examples/WXT_results_summary_data/EP240416a/cat_table.csv,
WXT_results,10,EP240417a,177.44,-15.428,wxt_ra/wxt_dec,190.0,False,,success,1,WISE J114946.50-152429.3,177.443756,-15.408153,0.055393,72.62849890861396,examples/WXT_results_summary_data/EP240417a/aladin.html,examples/WXT_results_summary_data/EP240417a/aladin.ipynb,examples/WXT_results_summary_data/EP240417a/cat_table.csv,
WXT_results,11,EP240420a,228.7304,14.8042,fxt_ra/fxt_dec,20.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240420a/aladin.html,examples/WXT_results_summary_data/EP240420a/aladin.ipynb,examples/WXT_results_summary_data/EP240420a/cat_table.csv,
WXT_results,12,EP240426b,173.772,-40.74,wxt_ra/wxt_dec,190.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240426b/aladin.html,examples/WXT_results_summary_data/EP240426b/aladin.ipynb,examples/WXT_results_summary_data/EP240426b/cat_table.csv,
WXT_results,13,EP240506a,213.95885833,-16.66081667,optical_counterpart,20.0,True,0.12,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240506a/aladin.html,examples/WXT_results_summary_data/EP240506a/aladin.ipynb,examples/WXT_results_summary_data/EP240506a/cat_table.csv,
WXT_results,14,EP240617a,285.031,-22.559,wxt_ra/wxt_dec,190.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240617a/aladin.html,examples/WXT_results_summary_data/EP240617a/aladin.ipynb,examples/WXT_results_summary_data/EP240617a/cat_table.csv,
WXT_results,15,EP240618a,281.6456,23.8354,fxt_ra/fxt_dec,20.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240618a/aladin.html,examples/WXT_results_summary_data/EP240618a/aladin.ipynb,examples/WXT_results_summary_data/EP240618a/cat_table.csv,
WXT_results,16,EP240625a,310.7317,-15.9741,fxt_ra/fxt_dec,20.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240625a/aladin.html,examples/WXT_results_summary_data/EP240625a/aladin.ipynb,examples/WXT_results_summary_data/EP240625a/cat_table.csv,
WXT_results,17,EP240626a,263.0174,-13.0491,fxt_ra/fxt_dec,20.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240626a/aladin.html,examples/WXT_results_summary_data/EP240626a/aladin.ipynb,examples/WXT_results_summary_data/EP240626a/cat_table.csv,
WXT_results,18,EP240702a,328.222,-38.964,wxt_ra/wxt_dec,190.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240702a/aladin.html,examples/WXT_results_summary_data/EP240702a/aladin.ipynb,examples/WXT_results_summary_data/EP240702a/cat_table.csv,
WXT_results,19,EP240703a,273.804,-9.68,wxt_ra/wxt_dec,190.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240703a/aladin.html,examples/WXT_results_summary_data/EP240703a/aladin.ipynb,examples/WXT_results_summary_data/EP240703a/cat_table.csv,
WXT_results,20,EP240703b,279.538,-57.407,wxt_ra/wxt_dec,190.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240703b/aladin.html,examples/WXT_results_summary_data/EP240703b/aladin.ipynb,examples/WXT_results_summary_data/EP240703b/cat_table.csv,
WXT_results,21,EP240708a,345.965,-22.8433,fxt_ra/fxt_dec,20.0,False,,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240708a/aladin.html,examples/WXT_results_summary_data/EP240708a/aladin.ipynb,examples/WXT_results_summary_data/EP240708a/cat_table.csv,
WXT_results,22,EP240801a,345.16257917,32.59366667,optical_counterpart,20.0,True,1.673,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240801a/aladin.html,examples/WXT_results_summary_data/EP240801a/aladin.ipynb,examples/WXT_results_summary_data/EP240801a/cat_table.csv,
